data;uf;total_pago;total_recebido;total_energia_entregue;total_energia_recebida;total_capacidade;total_geracao_centro_gravidade
2020-08-01;DF;47.0;1.0;0.0;3.0;30;5
2020-08-01;TO;5304.0;74.0;5.0;316.0;1930.6789999999999;527
2020-08-01;MA;5049.0;9.0;1.0;295.0;3900.406999999999;952
2020-08-01;RO;30847.0;2373.0;185.0;1807.0;8117.615000000001;1785
2020-08-01;AM;703.0;115.0;9.0;42.0;1617.002;907
2020-08-01;AP;291.0;1520.0;119.0;17.0;965.95;468
2020-09-01;MG;12159.0;30986.0;2416.0;724.0;15992.050999999998;7506
2020-09-01;SP;9327.0;24307.0;1901.0;561.0;22070.803999999996;9007
2020-09-01;RJ;3426.0;574.0;44.0;212.0;10067.891;3223
2020-09-01;GO;5376.0;10263.0;803.0;327.0;7518.469000000001;3811
2020-09-01;AL;2489.0;1029.0;80.0;152.0;4481.891;1613
2020-09-01;PE;1132.0;1231.0;96.0;67.0;4233.1129999999985;1207
2020-09-01;SE;603.0;2863.0;224.0;37.0;4770.64;2018
2020-09-01;BA;1457.0;1433.0;113.0;89.0;8572.673999999995;3743
2020-09-01;PI;77.0;352.0;28.0;5.0;3318.388000000001;1233
2020-09-01;PR;5909.0;87848.0;3475.0;341.0;24083.557999999997;11725
2020-09-01;SC;6373.0;7553.0;588.0;378.0;4479.880000000003;1721
2020-09-01;RS;3697.0;21985.0;1718.0;213.0;20568.59200000001;4507
2020-09-01;PA;85676.0;182.0;14.0;5220.0;22281.738;3712
2020-09-01;RN;0.0;0.0;0.0;0.0;5359.912000000001;2921
2020-09-01;ES;2163.0;73.0;5.0;130.0;1578.209;431
2020-09-01;PB;12.0;0.0;0.0;1.0;899.4320000000001;134
2020-09-01;CE;0.0;0.0;0.0;0.0;4518.364000000001;1320
2020-09-01;MT;8601.0;114.0;7.0;528.0;3694.3470000000016;860
2020-09-01;MS;100.0;29.0;2.0;7.0;2507.8129999999996;697
2020-09-01;DF;62.0;2.0;0.0;4.0;30;5
2020-09-01;TO;2959.0;579.0;46.0;183.0;1930.6789999999999;765
2020-09-01;MA;5854.0;7.0;1.0;360.0;3900.616999999999;1076
2020-09-01;RO;35518.0;2180.0;171.0;2176.0;8117.615000000001;1561
2020-09-01;AM;113.0;909.0;71.0;7.0;1617.002;1001
2020-09-01;AP;1776.0;362.0;29.0;109.0;965.95;340
2018-06-01;MG;37920.0;4659.0;387.0;2087.0;15946.164999999997;3924
2018-06-01;SP;12779.0;12501.0;1053.0;706.0;21802.08699999999;8004
2018-06-01;RJ;1730.0;893.0;75.0;97.0;13379.702000000003;5052
2018-06-01;GO;12116.0;3489.0;293.0;675.0;7687.938;2677
2018-06-01;AL;15660.0;0.0;0.0;872.0;4481.891;580
2018-06-01;PE;6644.0;41.0;4.0;368.0;4363.522000000001;1197
2018-06-01;SE;14498.0;0.0;0.0;807.0;3255.0;602
2018-06-01;BA;6239.0;30.0;2.0;347.0;7179.893999999999;2109
2018-06-01;PI;63.0;100.0;8.0;3.0;2034.0000000000011;997
2018-06-01;PR;10285.0;93179.0;3361.0;544.0;23642.45;10208
2018-06-01;SC;9553.0;310.0;25.0;524.0;4375.848000000002;1152
2018-06-01;RS;9582.0;4758.0;398.0;522.0;10618.869000000008;2762
2018-06-01;PA;7555.0;11943.0;1005.0;418.0;22245.971999999998;6683
2018-06-01;RN;0.0;0.0;0.0;0.0;4665.883999999996;1881
2018-06-01;ES;1146.0;195.0;17.0;64.0;1554.589;465
2018-06-01;MS;103.0;312.0;25.0;5.0;2941.4030000000002;937
2018-06-01;PB;14.0;0.0;0.0;1.0;763.254;79
2018-06-01;CE;0.0;0.0;0.0;0.0;4094.5439999999985;1377
2018-06-01;DF;125.0;0.0;0.0;7.0;40;2
2018-06-01;MT;519.0;1905.0;158.0;27.0;3261.6920000000005;1142
2018-06-01;MA;2343.0;311.0;26.0;131.0;3713.1069999999995;1672
2018-06-01;TO;4944.0;17.0;0.0;278.0;1906.9289999999999;536
