id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
SE;SUDESTE;2022-03-20;38018.48495833
N;NORTE;2022-03-21;5820.274
NE;NORDESTE;2022-03-21;11665.779625
S;SUL;2022-03-21;11830.310375
SE;SUDESTE;2022-03-21;41910.10625
N;NORTE;2022-03-22;5979.44445833
NE;NORDESTE;2022-03-22;11452.51116667
S;SUL;2022-03-22;12475.77254167
SE;SUDESTE;2022-03-22;42302.48820833
N;NORTE;2022-03-23;5888.24904167
NE;NORDESTE;2022-03-23;11598.194625
S;SUL;2022-03-23;12928.44620833
SE;SUDESTE;2022-03-23;43709.4455
N;NORTE;2022-03-24;5931.114625
NE;NORDESTE;2022-03-24;11765.51416667
S;SUL;2022-03-24;12481.91258333
SE;SUDESTE;2022-03-24;45022.293375
N;NORTE;2022-03-25;5923.20270833
NE;NORDESTE;2022-03-25;11345.8455
S;SUL;2022-03-25;11564.9615
SE;SUDESTE;2022-03-25;46047.973125
N;NORTE;2022-03-26;5739.8795
NE;NORDESTE;2022-03-26;10941.26779167
S;SUL;2022-03-26;9796.23133333
SE;SUDESTE;2022-03-26;42646.04841667
N;NORTE;2022-03-27;5488.82141667
NE;NORDESTE;2022-03-27;10172.92433333
S;SUL;2022-03-27;8644.74808333
SE;SUDESTE;2022-03-27;38885.16354167
N;NORTE;2022-03-28;5695.237
NE;NORDESTE;2022-03-28;11152.55691667
S;SUL;2022-03-28;12049.438875
SE;SUDESTE;2022-03-28;44597.61775
N;NORTE;2022-03-29;5578.09479167
NE;NORDESTE;2022-03-29;11355.95625
S;SUL;2022-03-29;12864.37379167
SE;SUDESTE;2022-03-29;45177.900625
N;NORTE;2022-03-30;5505.20533333
NE;NORDESTE;2022-03-30;11541.38141667
S;SUL;2022-03-30;12801.83
SE;SUDESTE;2022-03-30;46139.12566667
N;NORTE;2022-03-31;5738.89183333
NE;NORDESTE;2022-03-31;11746.00325
S;SUL;2022-03-31;11890.73770833
SE;SUDESTE;2022-03-31;45055.92791667
N;NORTE;2022-04-01;5911.92375
NE;NORDESTE;2022-04-01;11781.16354167
S;SUL;2022-04-01;11762.59358333
SE;SUDESTE;2022-04-01;42379.95629167
N;NORTE;2022-04-02;5537.62608333
NE;NORDESTE;2022-04-02;11035.61208333
S;SUL;2022-04-02;10305.34875
SE;SUDESTE;2022-04-02;38904.95375
N;NORTE;2022-04-03;5216.23683333
NE;NORDESTE;2022-04-03;10240.02295833
S;SUL;2022-04-03;9318.59433333
SE;SUDESTE;2022-04-03;36282.32008333
N;NORTE;2022-04-04;5792.360875
NE;NORDESTE;2022-04-04;11344.68475
S;SUL;2022-04-04;12069.142875
SE;SUDESTE;2022-04-04;43759.45120833
N;NORTE;2022-04-05;5816.49604167
NE;NORDESTE;2022-04-05;11725.868375
S;SUL;2022-04-05;11989.101125
SE;SUDESTE;2022-04-05;44731.40495833
N;NORTE;2022-04-06;5816.092625
NE;NORDESTE;2022-04-06;11783.83891667
S;SUL;2022-04-06;12151.25758333
SE;SUDESTE;2022-04-06;44404.74733333
N;NORTE;2022-04-07;5892.278625
NE;NORDESTE;2022-04-07;11686.53195833
S;SUL;2022-04-07;12512.48358333
SE;SUDESTE;2022-04-07;43959.80433333
N;NORTE;2022-04-08;5865.08766667
NE;NORDESTE;2022-04-08;11785.22279167
S;SUL;2022-04-08;12271.66291667
SE;SUDESTE;2022-04-08;44364.95366667
N;NORTE;2022-04-09;5614.71366667
NE;NORDESTE;2022-04-09;11120.33820833
S;SUL;2022-04-09;10395.1
SE;SUDESTE;2022-04-09;41608.5295
N;NORTE;2022-04-10;5438.20408333
NE;NORDESTE;2022-04-10;10670.64545833
S;SUL;2022-04-10;9137.30708333
SE;SUDESTE;2022-04-10;37805.72804167
N;NORTE;2022-04-11;6171.92891667
NE;NORDESTE;2022-04-11;11930.04520833
S;SUL;2022-04-11;11983.96583333
SE;SUDESTE;2022-04-11;43530.27641667
N;NORTE;2022-04-12;6202.90070833
NE;NORDESTE;2022-04-12;12063.40475
S;SUL;2022-04-12;12160.46825
SE;SUDESTE;2022-04-12;44413.42408333
N;NORTE;2022-04-13;6268.82491667
NE;NORDESTE;2022-04-13;12243.627875
S;SUL;2022-04-13;12080.641
SE;SUDESTE;2022-04-13;44572.39020833
N;NORTE;2022-04-14;6105.783875
NE;NORDESTE;2022-04-14;12081.61279167
S;SUL;2022-04-14;11381.11270833
SE;SUDESTE;2022-04-14;42930.24675
N;NORTE;2022-04-15;5570.616375
NE;NORDESTE;2022-04-15;10712.05120833
S;SUL;2022-04-15;8310.66466667
SE;SUDESTE;2022-04-15;35111.232
N;NORTE;2022-04-16;5708.629
NE;NORDESTE;2022-04-16;11003.396875
S;SUL;2022-04-16;8604.08054167
SE;SUDESTE;2022-04-16;34638.386625
N;NORTE;2022-04-17;5420.862625
NE;NORDESTE;2022-04-17;10367.253625
S;SUL;2022-04-17;8044.32816667
SE;SUDESTE;2022-04-17;32664.44358333
N;NORTE;2022-04-18;5999.083875
NE;NORDESTE;2022-04-18;11582.63729167
S;SUL;2022-04-18;11133.275
SE;SUDESTE;2022-04-18;38736.88058333
N;NORTE;2022-04-19;5959.74245833
NE;NORDESTE;2022-04-19;11452.772375
S;SUL;2022-04-19;11832.275
SE;SUDESTE;2022-04-19;40307.31804167
N;NORTE;2022-04-20;5896.41695833
NE;NORDESTE;2022-04-20;11383.81391667
S;SUL;2022-04-20;11905.54341667
SE;SUDESTE;2022-04-20;40972.09225
N;NORTE;2022-04-21;5703.11983333
NE;NORDESTE;2022-04-21;10871.76870833
S;SUL;2022-04-21;11325.16608333
SE;SUDESTE;2022-04-21;38783.82054167
N;NORTE;2022-04-22;6008.0565
NE;NORDESTE;2022-04-22;11450.59154167
S;SUL;2022-04-22;11635.15216667
SE;SUDESTE;2022-04-22;40258.95254167
N;NORTE;2022-04-23;5807.1235
NE;NORDESTE;2022-04-23;11119.17008333
S;SUL;2022-04-23;9745.995625
SE;SUDESTE;2022-04-23;38778.68333333
N;NORTE;2022-04-24;5524.590625
NE;NORDESTE;2022-04-24;10255.46266667
S;SUL;2022-04-24;8676.43583333
SE;SUDESTE;2022-04-24;36091.76129167
N;NORTE;2022-04-25;6125.16654167
NE;NORDESTE;2022-04-25;11320.25379167
S;SUL;2022-04-25;11917.18516667
SE;SUDESTE;2022-04-25;42159.53929167
N;NORTE;2022-04-26;6163.63795833
NE;NORDESTE;2022-04-26;11442.14833333
S;SUL;2022-04-26;12640.41333333
SE;SUDESTE;2022-04-26;43710.298625
N;NORTE;2022-04-27;6096.60891667
NE;NORDESTE;2022-04-27;11577.021
S;SUL;2022-04-27;13018.60175
