id_subsistema;nom_subsistema;din_instante;val_cargaenergiahomwmed
NE;NORDESTE;2022-01-04 04:00:00;10800.66
S;SUL;2022-01-04 04:00:00;12253.675
SE;SUDESTE;2022-01-04 04:00:00;35691.024
N;NORTE;2022-01-04 05:00:00;5679.83899999
NE;NORDESTE;2022-01-04 05:00:00;10198.83499999
S;SUL;2022-01-04 05:00:00;12217.611
SE;SUDESTE;2022-01-04 05:00:00;35775.80199999
N;NORTE;2022-01-04 06:00:00;5440.475
NE;NORDESTE;2022-01-04 06:00:00;10015.19299999
S;SUL;2022-01-04 06:00:00;12240.118
SE;SUDESTE;2022-01-04 06:00:00;36492.533
N;NORTE;2022-01-04 07:00:00;5365.761
NE;NORDESTE;2022-01-04 07:00:00;10519.695
S;SUL;2022-01-04 07:00:00;13198.44899999
SE;SUDESTE;2022-01-04 07:00:00;38953.86999999
N;NORTE;2022-01-04 08:00:00;5594.286
NE;NORDESTE;2022-01-04 08:00:00;10973.97399999
S;SUL;2022-01-04 08:00:00;14219.252
SE;SUDESTE;2022-01-04 08:00:00;41373.99
N;NORTE;2022-01-04 09:00:00;5757.678
NE;NORDESTE;2022-01-04 09:00:00;11005.504
S;SUL;2022-01-04 09:00:00;14497.28599999
SE;SUDESTE;2022-01-04 09:00:00;42653.20799999
N;NORTE;2022-01-04 10:00:00;5846.712
NE;NORDESTE;2022-01-04 10:00:00;11139.01399999
S;SUL;2022-01-04 10:00:00;14665.78
SE;SUDESTE;2022-01-04 10:00:00;43262.633
N;NORTE;2022-01-04 11:00:00;5863.712
NE;NORDESTE;2022-01-04 11:00:00;11186.37999999
S;SUL;2022-01-04 11:00:00;14636.72399999
SE;SUDESTE;2022-01-04 11:00:00;43235.014
N;NORTE;2022-01-04 12:00:00;5782.84299999
NE;NORDESTE;2022-01-04 12:00:00;11074.48499999
S;SUL;2022-01-04 12:00:00;13775.962
SE;SUDESTE;2022-01-04 12:00:00;42955.091
N;NORTE;2022-01-04 13:00:00;5984.19199999
NE;NORDESTE;2022-01-04 13:00:00;11410.076
S;SUL;2022-01-04 13:00:00;14405.365
SE;SUDESTE;2022-01-04 13:00:00;43608.784
N;NORTE;2022-01-04 14:00:00;6289.21199999
NE;NORDESTE;2022-01-04 14:00:00;11812.18599999
S;SUL;2022-01-04 14:00:00;14783.124
SE;SUDESTE;2022-01-04 14:00:00;44377.756
N;NORTE;2022-01-04 15:00:00;6361.47999999
NE;NORDESTE;2022-01-04 15:00:00;12084.02899999
S;SUL;2022-01-04 15:00:00;14870.262
SE;SUDESTE;2022-01-04 15:00:00;45018.763
N;NORTE;2022-01-04 16:00:00;6332.20899999
NE;NORDESTE;2022-01-04 16:00:00;11990.503
S;SUL;2022-01-04 16:00:00;15046.813
SE;SUDESTE;2022-01-04 16:00:00;45490.94699999
N;NORTE;2022-01-04 17:00:00;6146.025
NE;NORDESTE;2022-01-04 17:00:00;11478.00099999
S;SUL;2022-01-04 17:00:00;14791.254
SE;SUDESTE;2022-01-04 17:00:00;44675.926
N;NORTE;2022-01-04 18:00:00;6040.78199999
NE;NORDESTE;2022-01-04 18:00:00;11968.57899999
S;SUL;2022-01-04 18:00:00;13991.04899999
SE;SUDESTE;2022-01-04 18:00:00;45122.794
N;NORTE;2022-01-04 19:00:00;6285.37999999
NE;NORDESTE;2022-01-04 19:00:00;12093.851
