mes,uf,total_pago,total_recebido,total_energia_entregue,total_energia_recebida,total_capacidade,geracao_total_MWmed
2019-12-01,MS,461,197,15,27,2841.313,619
2019-12-01,DF,11,86,7,1,30,17
2019-12-01,TO,2779,1320,107,154,1914.679,770
2019-12-01,MA,3501,537,43,202,3910.407,2216
2019-12-01,RO,3148,16949,1365,216,8115.055,4786
2019-12-01,AM,0,760,61,0,1617.002,1092
2019-12-01,AP,2908,401,32,179,965.95,307
2020-01-01,MG,24428,14728,1145,1298,15919.689,6006
2020-01-01,SP,22723,17992,1407,1208,21915.611,7209
2020-01-01,RJ,1119,2443,193,60,12003.506,5041
2020-01-01,GO,14921,3314,258,793,7578.969,2815
2020-01-01,AL,16619,0,0,893,4481.891,961
2020-01-01,PE,7057,0,0,379,4403.006,1292
2020-01-01,SE,13208,0,0,711,4770.63,1074
2020-01-01,BA,6890,455,35,368,8216.289,1761
2020-01-01,PI,415,15,1,22,2470.36,384
2020-01-01,PR,21870,101785,2857,1152,24079.758,10996
2020-01-01,SC,14967,785,55,798,4460.086,1338
2020-01-01,RS,22006,3724,288,1166,19858.109,2556
2020-01-01,PA,23600,18093,1417,1260,22281.738,8601
2020-01-01,RN,0,0,0,0,4867.547,1286
2020-01-01,ES,1023,1102,85,57,1577.969,627
2020-01-01,PB,16,0,0,1,848.932,84
2020-01-01,CE,0,0,0,0,4402.244,1422
2020-01-01,MT,5118,2967,232,278,4193.919,1561
2020-01-01,MS,387,158,12,21,2491.313,673
2020-01-01,DF,24,87,7,1,30,17
2020-01-01,TO,1669,3910,307,88,1914.679,980
2020-01-01,MA,2383,914,71,125,3910.407,2289
2020-01-01,RO,307,31817,2491,15,8115.055,6532
2020-01-01,AM,764,7,1,41,1617.002,1063
2020-01-01,AP,3132,338,26,169,965.95,350
2020-02-01,MG,31949,12148,945,1976,15917.689,5885
2020-02-01,SP,19007,18528,1450,1168,21939.111,7238
2020-02-01,RJ,435,3402,266,25,12003.506,4072
2020-02-01,GO,15619,5612,437,974,7578.969,2965
2020-02-01,AL,17327,0,0,1079,4481.891,905
2020-02-01,PE,7366,1,0,459,4403.006,1236
2020-02-01,SE,14506,0,0,906,4770.63,1011
2020-02-01,BA,6425,1028,80,403,8216.289,1858
2020-02-01,PI,297,203,16,18,2756.41,505
2020-02-01,PR,32135,61550,1612,1997,24079.758,9374
2020-02-01,SC,16252,754,54,1005,4466.599,1141
2020-02-01,RS,26719,2511,195,1660,19858.109,2241
2020-02-01,PA,710,58770,4601,44,22281.738,13112
2020-02-01,RN,0,0,0,0,4905.347,1239
2020-02-01,ES,822,929,72,50,1577.969,667
2020-02-01,PB,16,0,0,1,861.132,74
2020-02-01,CE,0,0,0,0,4402.244,895
2020-02-01,MT,3156,3118,243,196,4193.919,1811
2020-02-01,MS,485,104,8,30,2491.313,505
2020-02-01,DF,0,63,5,0,30,18
2020-02-01,TO,797,5458,427,51,1914.679,1210
2020-02-01,MA,288,4011,314,18,3910.407,1961
2020-02-01,RO,1461,20720,1622,94,8117.615,6210
2020-02-01,AM,1281,2,0,80,1617.002,914
2020-02-01,AP,2080,222,17,130,965.95,378
2020-03-01,MG,35890,11863,926,2563,15917.689,5880
2020-03-01,SP,21223,14293,1116,1518,21939.111,7000
2020-03-01,RJ,906,1867,147,64,12003.506,3717
2020-03-01,GO,17136,7372,578,1226,7578.969,3005
2020-03-01,AL,15095,0,0,1086,4481.891,868
2020-03-01,PE,6566,6,0,473,4403.006,940
2020-03-01,SE,12324,0,0,887,4770.64,1047
2020-03-01,BA,6727,1001,77,484,8216.289,1958
2020-03-01,PI,151,638,50,10,2806.41,531
2020-03-01,PR,38059,26760,691,2732,24079.758,8132
2020-03-01,SC,19820,271,20,1422,4469.957,836
2020-03-01,RS,31244,945,73,2242,20963.21,1838
2020-03-01,PA,502,111382,8721,35,22281.738,15687
2020-03-01,RN,0,0,0,0,4994.597,691
2020-03-01,ES,1075,931,71,78,1578.209,673
2020-03-01,PB,16,0,0,1,861.132,50
2020-03-01,CE,0,0,0,0,4525.244,275
2020-03-01,MT,4361,2693,211,315,4194.687,1654
2020-03-01,MS,810,41,3,58,2498.813,542
2020-03-01,DF,10,23,2,1,30,18
2020-03-01,TO,454,4619,363,31,1914.679,1228
2020-03-01,MA,85,6596,517,6,3910.407,843
2020-03-01,RO,960,22145,1734,70,8117.615,6185
2020-03-01,AM,179,330,26,13,1617.002,748
2020-03-01,AP,1788,1590,125,128,965.95,379
2020-04-01,MG,31111,9413,736,2302,15917.689,4985
2020-04-01,SP,15921,14954,1169,1176,21984.111,7210
2020-04-01,RJ,722,1281,99,53,10050.891,3107
2020-04-01,GO,12477,6195,485,920,7500.829,2660
2020-04-01,AL,5110,27,2,381,4481.891,1220
2020-04-01,PE,2064,42,3,153,4217.081,918
2020-04-01,SE,2735,293,23,206,4770.64,1664
2020-04-01,BA,4454,375,30,330,8266.689,2301
2020-04-01,PI,129,56,4,10,2838.97,647
2020-04-01,PR,34476,12688,327,2556,24080.758,6082
2020-04-01,SC,17671,25,1,1304,4469.957,298
2020-04-01,RS,28215,595,46,2087,20521.235,1406
2020-04-01,PA,111,69226,5420,8,22281.738,11298
2020-04-01,RN,0,0,0,0,5103.367,1130
2020-04-01,ES,155,1192,93,11,1578.209,654
2020-04-01,PB,13,0,0,1,861.132,72
2020-04-01,CE,0,0,0,0,4510.484,305
2020-04-01,MT,1642,3229,250,122,4194.687,1650
2020-04-01,MS,410,105,9,30,2498.813,851
2020-04-01,DF,0,61,5,0,60,18
2020-04-01,TO,586,2922,228,43,1914.679,991
2020-04-01,MA,172,4506,353,12,3910.407,590
2020-04-01,RO,137,26998,2113,11,8117.615,5876
2020-04-01,AM,44,578,45,3,1617.002,913
2020-04-01,AP,177,3763,295,13,965.95,620
2020-05-01,MG,28052,8433,657,1774,15992.049,4852
2020-05-01,SP,16532,11670,915,1057,22011.711,7059
2020-05-01,RJ,762,1101,85,48,10050.891,3251
2020-05-01,GO,14206,6412,505,903,7502.669,2761
2020-05-01,AL,6476,11,1,414,4481.891,1088
2020-05-01,PE,2528,40,3,162,4230.261,760
2020-05-01,SE,3713,146,11,239,4770.64,1578
2020-05-01,BA,6842,388,30,437,8317.089,2582
2020-05-01,PI,64,204,16,4,2838.97,918
2020-05-01,PR,40484,48236,1220,2562,24080.758,6553
2020-05-01,SC,18400,352,24,1167,4470.967,405
2020-05-01,RS,31006,426,32,1972,20531.614,1454
2020-05-01,PA,283,62550,4898,16,22281.738,10653
2020-05-01,RN,0,0,0,0,5141.167,1313
2020-05-01,ES,260,1089,85,16,1578.209,575
2020-05-01,PB,12,0,0,1,861.132,79
2020-05-01,CE,0,0,0,0,4521.364,424
2020-05-01,MT,1383,3235,251,87,4194.687,1607
2020-05-01,MS,414,112,9,27,2498.813,769
2020-05-01,DF,0,66,5,0,30,18
2020-05-01,TO,1698,905,72,104,1914.679,753
2020-05-01,MA,189,3311,260,12,3910.407,610
2020-05-01,RO,631,20804,1629,37,8117.615,5114
2020-05-01,AM,65,650,51,4,1617.002,941
2020-05-01,AP,97,3953,309,6,965.95,635
2020-06-01,MG,17888,15100,1174,1103,15992.049,5604
2020-06-01,SP,12931,13679,1070,807,22024.111,7610
2020-06-01,RJ,981,704,53,64,10053.891,3384
2020-06-01,GO,9130,6067,471,570,7502.669,3072
2020-06-01,AL,5706,140,11,362,4481.891,1136
2020-06-01,PE,2102,319,25,133,4230.261,923
2020-06-01,SE,3214,655,51,205,4770.64,1287
2020-06-01,BA,1506,1426,111,94,8409.489,3290
2020-06-01,PI,32,277,22,2,2873.512,1212
2020-06-01,PR,35434,42968,1217,2217,24080.758,6703
2020-06-01,SC,11686,4209,323,728,4471.935,1295
2020-06-01,RS,19145,4501,348,1198,20553.974,2202
2020-06-01,PA,2788,33554,2627,176,22281.738,9093
2020-06-01,RN,0,0,0,0,5210.917,1829
2020-06-01,ES,558,737,57,36,1578.209,497
2020-06-01,PB,11,0,0,1,861.132,95
2020-06-01,CE,0,0,0,0,4521.364,588
2020-06-01,MT,1084,2106,166,69,4201.187,1460
2020-06-01,MS,250,175,13,16,2498.813,726
2020-06-01,DF,53,8,1,3,30,7
2020-06-01,TO,3362,76,5,215,1922.679,643
2020-06-01,MA,2104,486,38,133,3910.407,1003
2020-06-01,RO,7083,5967,467,445,8117.615,3475
2020-06-01,AM,81,1065,83,5,1617.002,986
2020-06-01,AP,284,3197,250,18,965.95,620
2020-07-01,MG,9853,22449,1752,622,15992.049,6489
2020-07-01,SP,14796,13964,1095,950,22045.004,8101
2020-07-01,RJ,3061,478,37,196,10053.891,2295
2020-07-01,GO,9392,9749,761,608,7502.669,3315
2020-07-01,AL,2951,459,36,191,4481.891,1407
2020-07-01,PE,1068,777,60,68,4233.113,1076
2020-07-01,SE,883,1747,137,58,4770.64,1613
2020-07-01,BA,554,2383,186,36,8451.489,3608
2020-07-01,PI,72,286,23,5,3034.054,1313
2020-07-01,PR,18326,45197,1620,1137,24083.558,8595
2020-07-01,SC,3705,9830,766,228,4471.935,2318
2020-07-01,RS,4062,27638,2162,242,20554.692,4723
2020-07-01,PA,45502,657,51,2992,22281.738,4571
2020-07-01,RN,0,0,0,0,5287.147,2321
2020-07-01,ES,809,443,36,54,1578.209,466
2020-07-01,PB,11,0,0,1,861.132,109
2020-07-01,CE,0,0,0,0,4521.364,762
2020-07-01,MT,2366,734,55,158,4201.187,1297
2020-07-01,MS,187,81,6,12,2498.813,767
2020-07-01,DF,74,0,0,5,30,4
2020-07-01,TO,5489,9,0,360,1930.679,530
2020-07-01,MA,4026,5,0,264,3900.407,913
2020-07-01,RO,14030,3901,305,939,8117.615,2912
2020-07-01,AM,251,875,69,18,1617.002,867
2020-07-01,AP,1080,877,69,72,965.95,456
2020-08-01,MG,11231,23701,1853,624,15992.049,6552
2020-08-01,SP,10627,18029,1413,606,22069.004,8131
2020-08-01,RJ,2731,705,54,159,10067.891,2651
2020-08-01,GO,8425,9951,779,489,7502.669,3356
2020-08-01,AL,4539,137,11,261,4481.891,1282
2020-08-01,PE,1618,306,25,91,4233.113,1310
2020-08-01,SE,1855,651,51,111,4770.64,1448
2020-08-01,BA,2027,1349,105,121,8480.889,3711
2020-08-01,PI,90,249,20,5,3274.888,1276
2020-08-01,PR,13695,87354,2928,753,24083.558,10083
2020-08-01,SC,3438,12765,992,192,4479.88,2359
2020-08-01,RS,2582,26996,2111,135,20564.892,4780
2020-08-01,PA,75601,729,57,4337,22281.738,3734
2020-08-01,RN,0,0,0,0,5287.147,3019
2020-08-01,ES,1163,325,24,66,1578.209,467
2020-08-01,PB,12,0,0,1,872.432,132
2020-08-01,CE,0,0,0,0,4521.364,1079
2020-08-01,MT,5793,576,43,335,3694.347,1091
2020-08-01,MS,293,51,3,18,2498.813,632
2020-08-01,DF,47,1,0,3,30,5
2020-08-01,TO,5304,74,5,316,1930.679,527
2020-08-01,MA,5049,9,1,295,3900.407,952
2020-08-01,RO,30847,2373,185,1807,8117.615,1785
2020-08-01,AM,703,115,9,42,1617.002,907
2020-08-01,AP,291,1520,119,17,965.95,468
2020-09-01,MG,12159,30986,2416,724,15992.051,7506
2020-09-01,SP,9327,24307,1901,561,22070.804,9007
2020-09-01,RJ,3426,574,44,212,10067.891,3223
2020-09-01,GO,5376,10263,803,327,7518.469,3811
2020-09-01,AL,2489,1029,80,152,4481.891,1613
2020-09-01,PE,1132,1231,96,67,4233.113,1207
2020-09-01,SE,603,2863,224,37,4770.64,2018
2020-09-01,BA,1457,1433,113,89,8572.674,3743
2020-09-01,PI,77,352,28,5,3318.388,1233
2020-09-01,PR,5909,87848,3475,341,24083.558,11725
